Time	X	Y	Heading_Angle	Angular_Velocity	Speed
1627951169.83	-2.014666	-3.025083	1.992351	-1.287427	0.370466
1627951169.85	-2.013741	-3.017435	1.962984	-1.50347	0.380729
1627951169.87	-2.012269	-3.010351	1.933045	-1.638438	0.371892
1627951169.89	-2.010496	-3.002816	1.904235	-1.513731	0.387479
1627951169.91	-2.008387	-2.99531	1.87289	-1.618169	0.39506
1627951169.93	-2.006039	-2.987991	1.843666	-1.5025	0.38399
1627951169.95	-2.00355	-2.980509	1.811061	-1.480615	0.390953
1627951169.97	-2.000883	-2.97287	1.779918	-1.510502	0.401976
1627951169.99	-1.997981	-2.965473	1.751256	-1.225428	0.384014
1627951170.01	-1.99473	-2.958248	1.719411	-1.40982	0.388144
1627951170.03	-1.991336	-2.951148	1.687349	-1.690254	0.39886
1627951170.05	-1.988085	-2.944582	1.659497	-1.462339	0.374912
1627951170.07	-1.984517	-2.937366	1.629932	-1.401577	0.393374
1627951170.09	-1.981409	-2.930821	1.607051	-1.133141	0.365544
1627951170.11	-1.977749	-2.923625	1.577223	-1.344172	0.398902
1627951170.13	-1.974008	-2.916776	1.553694	-1.200123	0.399639
1627951170.15	-1.970431	-2.909507	1.53184	-0.974632	0.402165
1627951170.17	-1.966739	-2.902076	1.510909	-0.892171	0.403831
1627951170.19	-1.962983	-2.894676	1.489086	-1.129579	0.419177
1627951170.21	-1.959194	-2.887012	1.467652	-1.061242	0.431202
1627951170.23	-1.955933	-2.878876	1.452224	-0.736951	0.436669
1627951170.25	-1.95271	-2.870544	1.437943	-0.645206	0.443414
1627951170.27	-1.951013	-2.866369	1.431008	-0.69158	0.449391
1627951170.29	-1.947144	-2.853737	1.417767	-0.3366	0.434667
1627951170.31	-1.944998	-2.845042	1.414742	-0.197244	0.452709
1627951170.33	-1.942829	-2.836274	1.409078	-0.213035	0.445201
1627951170.35	-1.940807	-2.827462	1.407244	-0.01041	0.447415
1627951170.37	-1.938761	-2.818728	1.406931	0.058839	0.44611
1627951170.39	-1.936848	-2.809717	1.407917	0.110445	0.457525
1627951170.41	-1.93485	-2.800435	1.406568	-0.152409	0.4729
1627951170.43	-1.93311	-2.791253	1.408253	0.070402	0.465904
1627951170.45	-1.931666	-2.782148	1.410725	0.283934	0.46343
1627951170.47	-1.930376	-2.772862	1.414037	0.082625	0.4686
1627951170.49	-1.928795	-2.763558	1.416171	0.212994	0.476283
1627951170.51	-1.928001	-2.754285	1.419929	0.268407	0.45454
