Time	Desired_X	Desired_Y	Desired_V_head	Desired_V_lat	Desired_Theta	Desired_Theta_dot
1627951166.42	-0.990296	-3.296	0.273212	0.0	3.14159265359	0.0
1627951166.44	-0.99507	-3.296	0.279965	0.0	3.14159265359	0.0
1627951166.46	-0.999713	-3.296	0.279594	0.0	3.14159265359	0.0
1627951166.48	-1.004166	-3.296	0.267633	0.0	3.14159265359	0.0
1627951166.5	-1.008856	-3.296	0.282121	0.0	3.14159265359	0.0
1627951166.52	-1.013601	-3.296	0.283242	0.0	3.14159265359	0.0
1627951166.54	-1.018279	-3.296	0.282926	0.0	3.14159265359	0.0
1627951166.56	-1.02285	-3.296	0.279493	0.0	3.14159265359	0.0
1627951166.58	-1.027794	-3.296	0.292733	0.0	3.14159265359	0.0
1627951166.6	-1.032611	-3.296	0.288128	0.0	3.14159265359	0.0
1627951166.62	-1.037482	-3.296	0.293699	0.0	3.14159265359	0.0
1627951166.64	-1.042477	-3.296	0.298237	0.0	3.14159265359	0.0
1627951166.66	-1.047536	-3.296	0.292657	0.0	3.14159265359	0.0
1627951166.68	-1.052806	-3.296	0.306539	0.0	3.14159265359	0.0
1627951166.7	-1.058125	-3.296	0.313878	0.0	3.14159265359	0.0
1627951166.72	-1.063523	-3.296	0.317693	0.0	3.14159265359	0.0
1627951166.74	-1.069046	-3.296	0.317752	0.0	3.14159265359	0.0
1627951166.76	-1.074568	-3.296	0.318866	0.0	3.14159265359	0.0
1627951166.78	-1.080111	-3.296	0.323256	0.0	3.14159265359	0.0
1627951166.8	-1.080111	-3.296	0.323256	0.0	3.14159265359	0.0
1627951166.82	-1.091431	-3.296	0.325638	0.0	3.14159265359	0.0
1627951166.84	-1.096938	-3.296	0.317497	0.0	3.14159265359	0.0
1627951166.86	-1.102654	-3.296	0.332067	0.0	3.14159265359	0.0
1627951166.88	-1.108319	-3.296	0.329196	0.0	3.14159265359	0.0
1627951166.9	-1.113925	-3.296	0.322255	0.0	3.14159265359	0.0
1627951166.92	-1.119622	-3.296	0.330408	0.0	3.14159265359	0.0
1627951166.94	-1.125456	-3.296	0.333668	0.0	3.14159265359	0.0
1627951166.96	-1.131159	-3.296	0.324524	0.0	3.14159265359	0.0
1627951166.98	-1.137114	-3.296	0.343068	0.0	3.14159265359	0.0
1627951167.0	-1.143178	-3.296	0.33535	0.0	3.14159265359	0.0
1627951167.02	-1.149205	-3.296	0.34762	0.0	3.14159265359	0.0
1627951167.04	-1.155334	-3.296	0.351907	0.0	3.14159265359	0.0
1627951167.06	-1.161595	-3.296	0.3495	0.0	3.14159265359	0.0
1627951167.08	-1.167955	-3.296	0.364415	0.0	3.14159265359	0.0
1627951167.1	-1.174331	-3.296	0.354429	0.0	3.14159265359	0.0
1627951167.12	-1.180822	-3.296	0.355898	0.0	3.14159265359	0.0
1627951167.14	-1.1873	-3.296	0.357104	0.0	3.14159265359	0.0
1627951167.16	-1.193834	-3.296	0.361225	0.0	3.14159265359	0.0
1627951167.18	-1.193834	-3.296	0.361225	0.0	3.14159265359	0.0
1627951167.2	-1.206566	-3.296	0.351198	0.0	3.14159265359	0.0
1627951167.22	-1.212965	-3.296	0.354853	0.0	3.14159265359	0.0
1627951167.24	-1.219141	-3.296	0.345752	0.0	3.14159265359	0.0
1627951167.26	-1.22557	-3.296	0.362027	0.0	3.14159265359	0.0
1627951167.28	-1.232218	-3.296	0.364853	0.0	3.14159265359	0.0
1627951167.3	-1.238725	-3.296	0.357149	0.0	3.14159265359	0.0
1627951167.32	-1.245446	-3.296	0.370832	0.0	3.14159265359	0.0
1627951167.34	-1.252061	-3.296	0.365078	0.0	3.14159265359	0.0
1627951167.36	-1.258782	-3.296	0.373607	0.0	3.14159265359	0.0
1627951167.38	-1.26569	-3.296	0.375543	0.0	3.14159265359	0.0
1627951167.4	-1.272472	-3.296	0.365932	0.0	3.14159265359	0.0
1627951167.42	-1.279282	-3.296	0.374414	0.0	3.14159265359	0.0
1627951167.44	-1.286162	-3.296	0.371153	0.0	3.14159265359	0.0
1627951167.46	-1.293129	-3.296	0.375832	0.0	3.14159265359	0.0
1627951167.48	-1.300097	-3.296	0.380029	0.0	3.14159265359	0.0
1627951167.5	-1.306876	-3.296	0.374141	0.0	3.14159265359	0.0
1627951167.52	-1.313673	-3.296	0.381921	0.0	3.14159265359	0.0
1627951167.54	-1.32035	-3.296	0.368472	0.0	3.14159265359	0.0
1627951167.56	-1.327031	-3.296	0.366099	0.0	3.14159265359	0.0
1627951167.58	-1.33398	-3.296	0.381138	0.0	3.14159265359	0.0
